id,expected,predicted,correct,response,prompt_tokens,generated_tokens,prompt_duration_ns,generation_duration_ns
Mercury_417466,A,D,False,D,111,2,26407250,9177875
Mercury_7081673,B,B,True,B,87,2,19600292,8501000
Mercury_7239733,D,D,True,D,94,2,19449541,8970375
NYSEDREGENTS_2015_4_8,D,D,True,D,75,2,19171916,9138333
Mercury_7037258,B,C,False,C,103,2,19600625,8653917
CSZ20679,C,C,True,C,89,2,55332583,8487333
Mercury_182158,A,D,False,D,101,2,19562542,9236958
Mercury_7216668,C,,False,grams,93,2,19189791,8602334
MCAS_2001_5_19,C,C,True,C,70,2,14580458,8574416
Mercury_SC_413631,A,D,False,D,118,2,27013708,9175167
MCAS_2005_5_10,B,D,False,D,105,2,40259917,8621000
Mercury_7166145,B,B,True,B,132,2,27736166,8649708
MSA_2013_5_6,B,B,True,B,98,2,19626208,8889000
Mercury_SC_405199,B,B,True,B,76,2,18947583,8603208
NYSEDREGENTS_2015_8_28,B,B,True,B,74,2,19193458,9725625
Mercury_SC_401777,B,B,True,B,77,2,18981750,8985083
Mercury_7198188,B,B,True,B,141,2,32246500,9071375
MCAS_1998_4_11,D,D,True,D,128,2,26480917,9183333
Mercury_SC_LBS10784,B,B,True,B,85,2,19621958,8586042
Mercury_7033548,D,D,True,D,88,2,19014042,8555875
Mercury_7146195,D,D,True,D,103,2,19533917,8389375
NCEOGA_2013_8_36,D,D,True,D,79,2,19088917,8646458
Mercury_SC_415412,D,C,False,C,111,2,26406292,8731792
Mercury_7126840,C,D,False,D,96,2,19554125,8629250
Mercury_SC_408362,B,D,False,D,93,2,19503375,8568875
MDSA_2008_8_35,C,B,False,B,116,2,26659791,8709208
NYSEDREGENTS_2015_8_21,B,D,False,D,87,2,19316208,11044250
VASoL_2008_5_12,B,B,True,B,85,2,19570458,9876250
Mercury_SC_LBS10680,A,D,False,D,102,2,19595125,8807042
MCAS_2003_5_3,B,B,True,B,69,2,14332709,9423709
VASoL_2010_5_18,A,D,False,D,77,2,19172333,8751959
Mercury_7074900,C,C,True,C,86,2,19216959,8728458
Mercury_SC_408762,A,D,False,D,95,2,19239875,8422166
ACTAAP_2015_5_8,A,D,False,D,154,2,32339250,8917583
Mercury_7263008,C,C,True,The answer is C,117,4,26422667,26449583
